title,image_url,movie_link,about
Dynamite Kiss (Season 1) WEB-DL [Hindi (2.0) & Korean] 1080p 720p & 480p Dual Audio [x264/ESubs] | NF Series | [EP-2 Added],https://image.tmdb.org/t/p/w342/qY3ltlWUB7u3ENocrMOkbGCGYnt.jpg,https://hdhub4u.pictures/dynamite-kiss-season-1-webrip-hindi-full-series/,Dynamite Kiss (Season 1) WEB-DL [Hindi (2.0) & Korean] 1080p 720p & 480p Dual Audio [x264/ESubs] | NF Series | [EP-2 Added]
Panda Plan (2024) BluRay [Hindi (DD2.0) & English] 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | Full Movie,https://image.tmdb.org/t/p/w342/8iMPQl13q89jQhaA5nXb6UiT0t0.jpg,https://hdhub4u.pictures/panda-plan-2024-hindi-bluray-full-movie/,Panda Plan (2024) BluRay [Hindi (DD2.0) & English] 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | Full Movie
Nishaanchi 2 (2025) WEB-DL [Hindi DD5.1] 4K 1080p 720p & 480p [x264/HEVC] | Full Movie,https://image.tmdb.org/t/p/w342/nO07vsSxqrE0VN7TcQdtKwaToWY.jpg,https://hdhub4u.pictures/nishaanchi-2-2025-hindi-webrip-full-movie/,Nishaanchi 2 (2025) WEB-DL [Hindi DD5.1] 4K 1080p 720p & 480p [x264/HEVC] | Full Movie
Jolly LLB 3 (2025) DS4K WEB-DL [Hindi DD5.1] 4K 1080p 720p & 480p [x264/10Bit-HEVC] | Full Movie,https://image.tmdb.org/t/p/w342/bwRoU9p5GvjxgPfmIgsfcJ4ydng.jpg,https://hdhub4u.pictures/jolly-llb-3-2025-hindi-webrip-full-movie/,Jolly LLB 3 (2025) DS4K WEB-DL [Hindi DD5.1] 4K 1080p 720p & 480p [x264/10Bit-HEVC] | Full Movie
Dude (2025) WEB-DL [Hindi (DD5.1) & Tamil] 4K 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | Full Movie,https://image.tmdb.org/t/p/w342/6UVxW4ktk5050j1VPb7mOKhT6Es.jpg,https://hdhub4u.pictures/dude-2025-hindi-webrip-full-movie/,Dude (2025) WEB-DL [Hindi (DD5.1) & Tamil] 4K 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | Full Movie
Avihitham (2025) DS4K WEB-DL [Hindi (DD5.1) & Malayalam] 4K 1080p 720p & 480p Dual Audio [x264/HEVC] | Full Movie,https://image.tmdb.org/t/p/w342/gPHdHjoUK2Hft5XpyYQ4s7XqxrE.jpg,https://hdhub4u.pictures/avihitham-2025-hindi-webrip-full-movie/,Avihitham (2025) DS4K WEB-DL [Hindi (DD5.1) & Malayalam] 4K 1080p 720p & 480p Dual Audio [x264/HEVC] | Full Movie
Telusu Kada (2025) WEB-DL [Hindi (DD5.1) & Telugu] 4K 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | Full Movie,https://catimages.org/images/2025/11/14/Telusu-Kada-2025-HDHub4u.Ms.jpg,https://hdhub4u.pictures/telusu-kada-2025-hindi-webrip-full-movie/,Telusu Kada (2025) WEB-DL [Hindi (DD5.1) & Telugu] 4K 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | Full Movie
The Beast in Me (Season 1) WEB-DL [Hindi (DD5.1) & English] 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | Full Series,https://image.tmdb.org/t/p/w342/jxf7JCfIMvGONWTNUIJ068sFixK.jpg,https://hdhub4u.pictures/the-beast-in-me-season-1-webrip-hindi-full-series/,The Beast in Me (Season 1) WEB-DL [Hindi (DD5.1) & English] 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | Full Series
Delhi Crime (Season 3) WEB-DL [Hindi DD5.1] 4K 1080p 720p & 480p [x264/10Bit-HEVC] HD | NF Series,https://image.tmdb.org/t/p/w342/dtAKABHpkspEeDxisQ8Fu9r4w6I.jpg,https://hdhub4u.pictures/delhi-crime-season-3-hindi-webrip-all-episodes/,Delhi Crime (Season 3) WEB-DL [Hindi DD5.1] 4K 1080p 720p & 480p [x264/10Bit-HEVC] HD | NF Series
Phaphey Kuttniyan (2025) WEB-DL [Punjabi DD5.1] 4K 1080p 720p & 480p [x264/HEVC] | Full Movie,https://image.tmdb.org/t/p/w342/kjwkWmr7HrybmEqPkmrkxe5fJcR.jpg,https://hdhub4u.pictures/phaphey-kuttniyan-2025-webrip-punjabi-full-movie/,Phaphey Kuttniyan (2025) WEB-DL [Punjabi DD5.1] 4K 1080p 720p & 480p [x264/HEVC] | Full Movie
Gabby’s Dollhouse: The Movie (2025) WEB-DL [Hindi (DD5.1) & English] 4K 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | Full Movie,https://image.tmdb.org/t/p/w342/t6LLguAmu6iZUN8pWhT7Q0IcaQ5.jpg,https://hdhub4u.pictures/gabbys-dollhouse-the-movie-2025-webrip-hindi-full-movie/,Gabby’s Dollhouse: The Movie (2025) WEB-DL [Hindi (DD5.1) & English] 4K 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | Full Movie
Last Samurai Standing (Season 1) WEB-DL [Hindi (DD5.1) & English] 1080p 720p & 480p [x264/10Bit-HEVC] | [ALL Episodes] | NF Series,https://image.tmdb.org/t/p/w342/cZDJ5pAVmQs5c84my2bAhT3fbh8.jpg,https://hdhub4u.pictures/last-samurai-standing-season-1-hindi-webrip-all-episodes/,Last Samurai Standing (Season 1) WEB-DL [Hindi (DD5.1) & English] 1080p 720p & 480p [x264/10Bit-HEVC] | [ALL Episodes] | NF Series
Death Note (Season 1) BluRay [Hindi (DD2.0) & English] 1080p 720p & 480p [x264/Esubs] | [EP-26 Added],https://image.tmdb.org/t/p/w342/tCZFfYTIwrR7n94J6G14Y4hAFU6.jpg,https://hdhub4u.pictures/death-note-season-1-bluray-hindi-full-series/,Death Note (Season 1) BluRay [Hindi (DD2.0) & English] 1080p 720p & 480p [x264/Esubs] | [EP-26 Added]
The Draft! (2023) WEB-DL [Hindi (DD5.1) & Indonesian] 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | Full Movie,https://image.tmdb.org/t/p/w342/kIgnGTEdizHySPsGaO2RNgN2yE5.jpg,https://hdhub4u.pictures/the-draft-2023-hindi-webrip-full-movie/,The Draft! (2023) WEB-DL [Hindi (DD5.1) & Indonesian] 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | Full Movie
The Girlfriend (2025) HQ-HDTC [Hindi (LiNE) & Telugu] 1080p 720p & 480p Dual Audio [x264/HEVC] | Full Movie,http://image.tmdb.org/t/p/w500/vcGeERDrMBVihLaxbFbj5pK3kgL.jpg,https://hdhub4u.pictures/the-girlfriend-2025-hindi-hdtc-full-movie/,The Girlfriend (2025) HQ-HDTC [Hindi (LiNE) & Telugu] 1080p 720p & 480p Dual Audio [x264/HEVC] | Full Movie
Two Much with Kajol and Twinkle (Season 1) WEB-DL [Hindi DD5.1] 1080p 720p & 480p [x264/ESubs] | AMZN Series | [ALL Episodes],https://image.tmdb.org/t/p/w342/261dokXdpS1KGIqvW9hiPKx6u6G.jpg,https://hdhub4u.pictures/two-much-with-kajol-and-twinkle-season-1-webrip-hindi-full-series/,Two Much with Kajol and Twinkle (Season 1) WEB-DL [Hindi DD5.1] 1080p 720p & 480p [x264/ESubs] | AMZN Series | [ALL Episodes]
Phullwanti (2024) WEB-DL [Hindi (DD5.1) & Marathi] 4K 1080p 720p & 480p Dual Audio [x264/HEVC] | Full Movie,https://image.tmdb.org/t/p/w342/1vZBlfnbFAiwedoBTBohJH2LD9O.jpg,https://hdhub4u.pictures/phullwanti-2024-hindi-marathi-webrip-full-movie/,Phullwanti (2024) WEB-DL [Hindi (DD5.1) & Marathi] 4K 1080p 720p & 480p Dual Audio [x264/HEVC] | Full Movie
